,capacity_mw
2013-11-01 00:00:00+00:00,35898.0
2013-12-01 00:00:00+00:00,36029.0
2014-01-01 00:00:00+00:00,36219.0
2014-02-01 00:00:00+00:00,36316.0
2014-03-01 00:00:00+00:00,36470.0
2014-04-01 00:00:00+00:00,36658.0
2014-05-01 00:00:00+00:00,36829.0
2014-06-01 00:00:00+00:00,37003.0
2014-07-01 00:00:00+00:00,37377.0
2014-08-01 00:00:00+00:00,37494.0
2014-09-01 00:00:00+00:00,37579.0
2014-10-01 00:00:00+00:00,37654.0
2014-11-01 00:00:00+00:00,37737.0
2014-12-01 00:00:00+00:00,37792.0
2015-01-01 00:00:00+00:00,37918.0
2015-02-01 00:00:00+00:00,37990.0
2015-03-01 00:00:00+00:00,38085.0
2015-04-01 00:00:00+00:00,38178.0
2015-05-01 00:00:00+00:00,38272.0
2015-06-01 00:00:00+00:00,38357.0
2015-07-01 00:00:00+00:00,38542.0
2015-08-01 00:00:00+00:00,38858.0
2015-09-01 00:00:00+00:00,38927.0
2015-10-01 00:00:00+00:00,38989.0
2015-11-01 00:00:00+00:00,39060.0
2015-12-01 00:00:00+00:00,39207.0
2016-01-01 00:00:00+00:00,39269.0
2016-02-01 00:00:00+00:00,39316.0
2016-03-01 00:00:00+00:00,39388.0
2016-04-01 00:00:00+00:00,39475.0
2016-05-01 00:00:00+00:00,39573.0
2016-06-01 00:00:00+00:00,39673.0
2016-07-01 00:00:00+00:00,39751.0
2016-08-01 00:00:00+00:00,39860.0
2016-09-01 00:00:00+00:00,39969.0
2016-10-01 00:00:00+00:00,40079.0
2016-11-01 00:00:00+00:00,40231.0
2016-12-01 00:00:00+00:00,40705.0
2017-01-01 00:00:00+00:00,40751.0
2017-02-01 00:00:00+00:00,40898.0
2017-03-01 00:00:00+00:00,41012.0
2017-04-01 00:00:00+00:00,41155.0
2017-05-01 00:00:00+00:00,41347.0
2017-06-01 00:00:00+00:00,41559.0
2017-07-01 00:00:00+00:00,41696.0
2017-08-01 00:00:00+00:00,41844.0
2017-09-01 00:00:00+00:00,41950.0
2017-10-01 00:00:00+00:00,42108.0
2017-11-01 00:00:00+00:00,42220.0
2017-12-01 00:00:00+00:00,42373.0
2018-01-01 00:00:00+00:00,42638.0
2018-02-01 00:00:00+00:00,42834.0
2018-03-01 00:00:00+00:00,42998.0
2018-04-01 00:00:00+00:00,43221.0
2018-05-01 00:00:00+00:00,43469.0
2018-06-01 00:00:00+00:00,43827.0
2018-07-01 00:00:00+00:00,44135.0
2018-08-01 00:00:00+00:00,44456.0
2018-09-01 00:00:00+00:00,44647.0
2018-10-01 00:00:00+00:00,44839.0
2018-11-01 00:00:00+00:00,45044.0
2018-12-01 00:00:00+00:00,45377.0
2019-01-01 00:00:00+00:00,46210.0
2019-02-01 00:00:00+00:00,46542.0
2019-03-01 00:00:00+00:00,46865.0
2019-04-01 00:00:00+00:00,47127.0
2019-05-01 00:00:00+00:00,47390.0
2019-06-01 00:00:00+00:00,47645.0
2019-07-01 00:00:00+00:00,47921.0
2019-08-01 00:00:00+00:00,48258.0
2019-09-01 00:00:00+00:00,48546.0
2019-10-01 00:00:00+00:00,48930.0
2019-11-01 00:00:00+00:00,49137.0
2019-12-01 00:00:00+00:00,49388.0
2020-01-01 00:00:00+00:00,49903.0
2020-02-01 00:00:00+00:00,50203.0
2020-03-01 00:00:00+00:00,50566.0
2020-04-01 00:00:00+00:00,50947.0
2020-05-01 00:00:00+00:00,51421.0
2020-06-01 00:00:00+00:00,51879.0
2020-07-01 00:00:00+00:00,52299.0
2020-08-01 00:00:00+00:00,52697.0
2020-09-01 00:00:00+00:00,53081.0
2020-10-01 00:00:00+00:00,53500.0
2020-11-01 00:00:00+00:00,54009.0
2020-12-01 00:00:00+00:00,54534.0
2021-01-01 00:00:00+00:00,54928.0
2021-02-01 00:00:00+00:00,55317.0
2021-03-01 00:00:00+00:00,55995.0
2021-04-01 00:00:00+00:00,56599.0
2021-05-01 00:00:00+00:00,56997.0
2021-06-01 00:00:00+00:00,57449.0
2021-07-01 00:00:00+00:00,57970.0
2021-08-01 00:00:00+00:00,58379.0
2021-09-01 00:00:00+00:00,58850.0
2021-10-01 00:00:00+00:00,59273.0
2021-11-01 00:00:00+00:00,59638.0
2021-12-01 00:00:00+00:00,60237.0
2022-01-01 00:00:00+00:00,60745.0
2022-02-01 00:00:00+00:00,61448.0
2022-03-01 00:00:00+00:00,62303.0
2022-04-01 00:00:00+00:00,62785.0
2022-05-01 00:00:00+00:00,63440.0
2022-06-01 00:00:00+00:00,64012.0
2022-07-01 00:00:00+00:00,64510.99999999999
2022-08-01 00:00:00+00:00,65205.0
2022-09-01 00:00:00+00:00,66061.0
2022-10-01 00:00:00+00:00,66685.0
2022-11-01 00:00:00+00:00,67344.0
2022-12-01 00:00:00+00:00,67812.0
2023-01-01 00:00:00+00:00,68833.0
2023-02-01 00:00:00+00:00,69761.0
2023-03-01 00:00:00+00:00,71023.0
2023-04-01 00:00:00+00:00,72214.0
2023-05-01 00:00:00+00:00,73567.0
2023-06-01 00:00:00+00:00,74959.0
2023-07-01 00:00:00+00:00,76469.0
2023-08-01 00:00:00+00:00,77865.0
2023-09-01 00:00:00+00:00,79099.0
2023-10-01 00:00:00+00:00,80644.0
2023-11-01 00:00:00+00:00,82095.0
2023-12-01 00:00:00+00:00,83256.0
2024-01-01 00:00:00+00:00,84891.0
2024-02-01 00:00:00+00:00,86149.0
2024-03-01 00:00:00+00:00,87574.0
2024-04-01 00:00:00+00:00,88943.0
2024-05-01 00:00:00+00:00,90178.0
2024-06-01 00:00:00+00:00,91708.0
2024-07-01 00:00:00+00:00,93387.0
2024-08-01 00:00:00+00:00,94457.0
2024-09-01 00:00:00+00:00,95755.0
2024-10-01 00:00:00+00:00,97472.0
2024-11-01 00:00:00+00:00,98708.0
2024-12-01 00:00:00+00:00,100728.0
2025-01-01 00:00:00+00:00,102307.0
2025-02-01 00:00:00+00:00,104140.0
2025-03-01 00:00:00+00:00,105021.0
2025-04-01 00:00:00+00:00,106091.0
2025-05-01 00:00:00+00:00,107357.0
2025-06-01 00:00:00+00:00,108459.0
2025-07-01 00:00:00+00:00,110039.0
2025-08-01 00:00:00+00:00,112090.0
2025-09-01 00:00:00+00:00,113115.0
2025-10-01 00:00:00+00:00,114446.0
2025-11-01 00:00:00+00:00,116383.0
2025-12-01 00:00:00+00:00,117865.0
2026-01-01 00:00:00+00:00,119094.0
2026-02-01 00:00:00+00:00,119979.0
2026-03-01 00:00:00+00:00,121476.0
2026-04-01 00:00:00+00:00,122556.0
2026-05-01 00:00:00+00:00,122964.0
